ID,code,start,end,01 - Location third,02 - Location flank,03 - End location third,04 - End location flank,05 - Length,06 - Number of team events,07 - Outcome,09 - xG,11 - Start location X,12 - Start location Y,13 - Duration,14 - Formation,15 - End location X,16 - End location Y,10 - Players,08 - Transition
497,Southampton - Highlights,3412.014099,3417.661022,Final third,Left flank,Final third,Center,Short,4 or less,Goal,from 0.1 to 0.35,105,0,2,5-4-1,101,33,"18. Mateus Fernandes, 11. Stewart",
498,Southampton - Set Pieces,3412.014099,3417.661022,Final third,Left flank,Final third,Center,Short,4 or less,Goal,from 0.1 to 0.35,105,0,2,5-4-1,101,33,"18. Mateus Fernandes, 11. Stewart",
499,Southampton - Goals,3412.014099,3417.661022,Final third,Left flank,Final third,Center,Short,4 or less,Goal,from 0.1 to 0.35,105,0,2,5-4-1,101,33,"18. Mateus Fernandes, 11. Stewart",
500,Southampton - Corners,3412.014099,3417.661022,Final third,Left flank,Final third,Center,Short,4 or less,Goal,from 0.1 to 0.35,105,0,2,5-4-1,101,33,"18. Mateus Fernandes, 11. Stewart",
501,Southampton - Shots,3412.014099,3417.661022,Final third,Left flank,Final third,Center,Short,4 or less,Goal,from 0.1 to 0.35,105,0,2,5-4-1,101,33,"18. Mateus Fernandes, 11. Stewart",
502,Ball in play,3484.591515,3551.363467,Middle third,Center,Final third,Center,Very long,15 or more,,,53,34,66,4-2-3-1,3,36,"22. David Raya, 17. Zinchenko, 3. Tierney, 15. Kiwior, 4. White, 53. Nwaneri, 11. Gabriel Martinelli, 30. Sterling",
503,Arsenal - Possessions,3484.591515,3551.363467,Middle third,Center,Final third,Center,Very long,15 or more,,,53,34,66,4-2-3-1,3,36,"22. David Raya, 17. Zinchenko, 3. Tierney, 15. Kiwior, 4. White, 53. Nwaneri, 11. Gabriel Martinelli, 30. Sterling",
504,Arsenal - Open play attacks,3484.591515,3551.363467,Middle third,Center,Final third,Center,Very long,15 or more,,,53,34,66,4-2-3-1,3,36,"22. David Raya, 17. Zinchenko, 3. Tierney, 15. Kiwior, 4. White, 53. Nwaneri, 11. Gabriel Martinelli, 30. Sterling",
505,Arsenal - Crosses,3484.591515,3551.363467,Middle third,Center,Final third,Center,Very long,15 or more,,,53,34,66,4-2-3-1,3,36,"22. David Raya, 17. Zinchenko, 3. Tierney, 15. Kiwior, 4. White, 53. Nwaneri, 11. Gabriel Martinelli, 30. Sterling",
506,Ball in play,3551.353467,3551.945604,Own third,Center,Own third,Center,Short,4 or less,,,3,36,0,5-4-1,102,33,16. Sugawara,Low
507,Southampton - Possessions,3551.353467,3551.945604,Own third,Center,Own third,Center,Short,4 or less,,,3,36,0,5-4-1,102,33,16. Sugawara,Low
508,Ball in play,3551.935604,3555.597998,Final third,Center,Final third,Center,Short,4 or less,,,102,33,2,4-2-3-1,0,25,41. Rice,
509,Arsenal - Possessions,3551.935604,3555.597998,Final third,Center,Final third,Center,Short,4 or less,,,102,33,2,4-2-3-1,0,25,41. Rice,
510,Ball in play,3593.159467,3600.222698,Final third,Right flank,Final third,Center,Short,4 or less,Shot,less than 0.1,105,68,3,4-2-3-1,20,34,"53. Nwaneri, 17. Zinchenko",
511,Arsenal - Possessions,3593.159467,3600.222698,Final third,Right flank,Final third,Center,Short,4 or less,Shot,less than 0.1,105,68,3,4-2-3-1,20,34,"53. Nwaneri, 17. Zinchenko",
512,Arsenal - Set Pieces,3593.159467,3600.222698,Final third,Right flank,Final third,Center,Short,4 or less,Shot,less than 0.1,105,68,3,4-2-3-1,20,34,"53. Nwaneri, 17. Zinchenko",
513,Arsenal - Corners,3593.159467,3600.222698,Final third,Right flank,Final third,Center,Short,4 or less,Shot,less than 0.1,105,68,3,4-2-3-1,20,34,"53. Nwaneri, 17. Zinchenko",
514,Arsenal - Shots,3593.159467,3600.222698,Final third,Right flank,Final third,Center,Short,4 or less,Shot,less than 0.1,105,68,3,4-2-3-1,20,34,"53. Nwaneri, 17. Zinchenko",
515,Ball in play,3597.222698,3602.461671,Own third,Center,Own third,Right flank,Short,4 or less,,,20,34,3,5-4-1,74,22,20. Sulemana,
516,Southampton - Possessions,3597.222698,3602.461671,Own third,Center,Own third,Right flank,Short,4 or less,,,20,34,3,5-4-1,74,22,20. Sulemana,
517,Ball in play,3602.451671,3612.815931,Final third,Left flank,Final third,Center,Short,4 or less,Shot,less than 0.1,74,22,7,4-2-3-1,14,31,"41. Rice, 53. Nwaneri",High
518,Arsenal - Possessions,3602.451671,3612.815931,Final third,Left flank,Final third,Center,Short,4 or less,Shot,less than 0.1,74,22,7,4-2-3-1,14,31,"41. Rice, 53. Nwaneri",High
519,Arsenal - Open play attacks,3602.451671,3612.815931,Final third,Left flank,Final third,Center,Short,4 or less,Shot,less than 0.1,74,22,7,4-2-3-1,14,31,"41. Rice, 53. Nwaneri",High
520,Arsenal - Shots,3602.451671,3612.815931,Final third,Left flank,Final third,Center,Short,4 or less,Shot,less than 0.1,74,22,7,4-2-3-1,14,31,"41. Rice, 53. Nwaneri",High
521,Ball in play,3609.815931,3613.744191,Own third,Center,Middle third,Center,Short,4 or less,,,14,31,2,5-4-1,56,32,16. Sugawara,Low
522,Southampton - Possessions,3609.815931,3613.744191,Own third,Center,Middle third,Center,Short,4 or less,,,14,31,2,5-4-1,56,32,16. Sugawara,Low
523,Ball in play,3613.734191,3880.8528,Middle third,Center,Final third,Right flank,Very long,15 or more,,,56,32,265,4-2-3-1,14,0,"22. David Raya, 4. White, 7. Saka, 53. Nwaneri, 41. Rice, 17. Zinchenko, 11. Gabriel Martinelli, 15. Kiwior, 19. Trossard",
524,Arsenal - Possessions,3613.734191,3880.8528,Middle third,Center,Final third,Right flank,Very long,15 or more,,,56,32,265,4-2-3-1,14,0,"22. David Raya, 4. White, 7. Saka, 53. Nwaneri, 41. Rice, 17. Zinchenko, 11. Gabriel Martinelli, 15. Kiwior, 19. Trossard",
525,Arsenal - Open play attacks,3613.734191,3880.8528,Middle third,Center,Final third,Right flank,Very long,15 or more,,,56,32,265,4-2-3-1,14,0,"22. David Raya, 4. White, 7. Saka, 53. Nwaneri, 41. Rice, 17. Zinchenko, 11. Gabriel Martinelli, 15. Kiwior, 19. Trossard",
526,Arsenal - Goalkeeper distributions,3613.734191,3880.8528,Middle third,Center,Final third,Right flank,Very long,15 or more,,,56,32,265,4-2-3-1,14,0,"22. David Raya, 4. White, 7. Saka, 53. Nwaneri, 41. Rice, 17. Zinchenko, 11. Gabriel Martinelli, 15. Kiwior, 19. Trossard",
527,Ball in play,3906.988032,3909.247938,Own third,Left flank,Own third,Left flank,Short,4 or less,,,19,0,1,5-4-1,70,58,34. Welington,
528,Southampton - Possessions,3906.988032,3909.247938,Own third,Left flank,Own third,Left flank,Short,4 or less,,,19,0,1,5-4-1,70,58,34. Welington,
529,Southampton - Set Pieces,3906.988032,3909.247938,Own third,Left flank,Own third,Left flank,Short,4 or less,,,19,0,1,5-4-1,70,58,34. Welington,
530,Southampton - Throw ins,3906.988032,3909.247938,Own third,Left flank,Own third,Left flank,Short,4 or less,,,19,0,1,5-4-1,70,58,34. Welington,
531,Ball in play,3909.237938,3910.603851,Final third,Right flank,Final third,Right flank,Short,4 or less,,,70,58,1,4-2-3-1,27,7,4. White,
532,Arsenal - Possessions,3909.237938,3910.603851,Final third,Right flank,Final third,Right flank,Short,4 or less,,,70,58,1,4-2-3-1,27,7,4. White,
533,Arsenal - Open play attacks,3909.237938,3910.603851,Final third,Right flank,Final third,Right flank,Short,4 or less,,,70,58,1,4-2-3-1,27,7,4. White,
534,Ball in play,3910.593851,3912.765911,Own third,Left flank,Middle third,Left flank,Short,4 or less,,,27,7,1,5-4-1,58,51,34. Welington,Low
535,Southampton - Possessions,3910.593851,3912.765911,Own third,Left flank,Middle third,Left flank,Short,4 or less,,,27,7,1,5-4-1,58,51,34. Welington,Low
536,Ball in play,3912.755911,3958.057945,Middle third,Right flank,Final third,Center,Long,10-14,,,58,51,45,4-2-3-1,15,24,"15. Kiwior, 17. Zinchenko, 41. Rice, 7. Saka, 53. Nwaneri, 11. Gabriel Martinelli",Medium
537,Arsenal - Possessions,3912.755911,3958.057945,Middle third,Right flank,Final third,Center,Long,10-14,,,58,51,45,4-2-3-1,15,24,"15. Kiwior, 17. Zinchenko, 41. Rice, 7. Saka, 53. Nwaneri, 11. Gabriel Martinelli",Medium
538,Arsenal - Open play attacks,3912.755911,3958.057945,Middle third,Right flank,Final third,Center,Long,10-14,,,58,51,45,4-2-3-1,15,24,"15. Kiwior, 17. Zinchenko, 41. Rice, 7. Saka, 53. Nwaneri, 11. Gabriel Martinelli",Medium
539,Ball in play,3958.047945,3965.53376,Own third,Center,Middle third,Left flank,Short,4 or less,,,15,24,7,5-4-1,68,60,"21. Taylor, 34. Welington, 20. Sulemana",Low
540,Southampton - Possessions,3958.047945,3965.53376,Own third,Center,Middle third,Left flank,Short,4 or less,,,15,24,7,5-4-1,68,60,"21. Taylor, 34. Welington, 20. Sulemana",Low
541,Ball in play,3965.52376,3993.054969,Middle third,Right flank,Final third,Center,Long,5-9,,,68,60,27,4-2-3-1,6,35,"4. White, 5. Partey, 15. Kiwior, 17. Zinchenko, 53. Nwaneri, 7. Saka",Medium
542,Arsenal - Possessions,3965.52376,3993.054969,Middle third,Right flank,Final third,Center,Long,5-9,,,68,60,27,4-2-3-1,6,35,"4. White, 5. Partey, 15. Kiwior, 17. Zinchenko, 53. Nwaneri, 7. Saka",Medium
543,Arsenal - Open play attacks,3965.52376,3993.054969,Middle third,Right flank,Final third,Center,Long,5-9,,,68,60,27,4-2-3-1,6,35,"4. White, 5. Partey, 15. Kiwior, 17. Zinchenko, 53. Nwaneri, 7. Saka",Medium
544,Arsenal - Crosses,3965.52376,3993.054969,Middle third,Right flank,Final third,Center,Long,5-9,,,68,60,27,4-2-3-1,6,35,"4. White, 5. Partey, 15. Kiwior, 17. Zinchenko, 53. Nwaneri, 7. Saka",Medium
545,Ball in play,3993.044969,3996.383724,Own third,Center,Own third,Center,Short,4 or less,,,6,35,2,5-4-1,83,23,15. Wood,Low
546,Southampton - Possessions,3993.044969,3996.383724,Own third,Center,Own third,Center,Short,4 or less,,,6,35,2,5-4-1,83,23,15. Wood,Low
547,Ball in play,3996.373724,4003.264382,Final third,Center,Final third,Center,Short,4 or less,,,83,23,6,4-2-3-1,4,23,"17. Zinchenko, 15. Kiwior",High
548,Arsenal - Possessions,3996.373724,4003.264382,Final third,Center,Final third,Center,Short,4 or less,,,83,23,6,4-2-3-1,4,23,"17. Zinchenko, 15. Kiwior",High
549,Arsenal - Open play attacks,3996.373724,4003.264382,Final third,Center,Final third,Center,Short,4 or less,,,83,23,6,4-2-3-1,4,23,"17. Zinchenko, 15. Kiwior",High
550,Arsenal - Crosses,3996.373724,4003.264382,Final third,Center,Final third,Center,Short,4 or less,,,83,23,6,4-2-3-1,4,23,"17. Zinchenko, 15. Kiwior",High
551,Ball in play,4003.254382,4008.725489,Own third,Center,Own third,Left flank,Short,4 or less,,,4,23,3,5-4-1,0,10,34. Welington,
552,Southampton - Possessions,4003.254382,4008.725489,Own third,Center,Own third,Left flank,Short,4 or less,,,4,23,3,5-4-1,0,10,34. Welington,
553,Ball in play,4046.622402,4052.224075,Final third,Right flank,Final third,Right flank,Short,4 or less,,,105,68,5,4-2-3-1,23,13,"7. Saka, 4. White",
554,Arsenal - Possessions,4046.622402,4052.224075,Final third,Right flank,Final third,Right flank,Short,4 or less,,,105,68,5,4-2-3-1,23,13,"7. Saka, 4. White",
555,Arsenal - Set Pieces,4046.622402,4052.224075,Final third,Right flank,Final third,Right flank,Short,4 or less,,,105,68,5,4-2-3-1,23,13,"7. Saka, 4. White",
556,Arsenal - Corners,4046.622402,4052.224075,Final third,Right flank,Final third,Right flank,Short,4 or less,,,105,68,5,4-2-3-1,23,13,"7. Saka, 4. White",
557,Ball in play,4052.214075,4063.42294,Own third,Left flank,Middle third,Center,Medium,5-9,,,23,13,11,5-4-1,45,42,"20. Sulemana, 34. Welington, 11. Stewart, 18. Mateus Fernandes",Low
558,Southampton - Possessions,4052.214075,4063.42294,Own third,Left flank,Middle third,Center,Medium,5-9,,,23,13,11,5-4-1,45,42,"20. Sulemana, 34. Welington, 11. Stewart, 18. Mateus Fernandes",Low
559,Ball in play,4063.41294,4078.82878,Middle third,Center,Final third,Center,Medium,5-9,Shot,from 0.1 to 0.35,45,42,12,4-2-3-1,8,34,"17. Zinchenko, 23. Mikel Merino, 11. Gabriel Martinelli, 7. Saka",Medium
560,Arsenal - Possessions,4063.41294,4078.82878,Middle third,Center,Final third,Center,Medium,5-9,Shot,from 0.1 to 0.35,45,42,12,4-2-3-1,8,34,"17. Zinchenko, 23. Mikel Merino, 11. Gabriel Martinelli, 7. Saka",Medium
561,Arsenal - Highlights,4063.41294,4078.82878,Middle third,Center,Final third,Center,Medium,5-9,Shot,from 0.1 to 0.35,45,42,12,4-2-3-1,8,34,"17. Zinchenko, 23. Mikel Merino, 11. Gabriel Martinelli, 7. Saka",Medium
562,Arsenal - Open play attacks,4063.41294,4078.82878,Middle third,Center,Final third,Center,Medium,5-9,Shot,from 0.1 to 0.35,45,42,12,4-2-3-1,8,34,"17. Zinchenko, 23. Mikel Merino, 11. Gabriel Martinelli, 7. Saka",Medium
563,Arsenal - Crosses,4063.41294,4078.82878,Middle third,Center,Final third,Center,Medium,5-9,Shot,from 0.1 to 0.35,45,42,12,4-2-3-1,8,34,"17. Zinchenko, 23. Mikel Merino, 11. Gabriel Martinelli, 7. Saka",Medium
564,Arsenal - Shots,4063.41294,4078.82878,Middle third,Center,Final third,Center,Medium,5-9,Shot,from 0.1 to 0.35,45,42,12,4-2-3-1,8,34,"17. Zinchenko, 23. Mikel Merino, 11. Gabriel Martinelli, 7. Saka",Medium
565,Ball in play,4075.82878,4082.707084,Own third,Center,Own third,Right flank,Short,4 or less,,,8,34,3,5-4-1,81,11,21. Taylor,
566,Southampton - Possessions,4075.82878,4082.707084,Own third,Center,Own third,Right flank,Short,4 or less,,,8,34,3,5-4-1,81,11,21. Taylor,
567,Ball in play,4082.697084,4085.639023,Final third,Left flank,Final third,Left flank,Short,4 or less,,,81,11,2,4-2-3-1,12,50,"19. Trossard, 17. Zinchenko",High
568,Arsenal - Possessions,4082.697084,4085.639023,Final third,Left flank,Final third,Left flank,Short,4 or less,,,81,11,2,4-2-3-1,12,50,"19. Trossard, 17. Zinchenko",High
569,Arsenal - Open play attacks,4082.697084,4085.639023,Final third,Left flank,Final third,Left flank,Short,4 or less,,,81,11,2,4-2-3-1,12,50,"19. Trossard, 17. Zinchenko",High
570,Ball in play,4085.629023,4090.073896,Own third,Right flank,Middle third,Center,Short,4 or less,,,12,50,2,5-4-1,44,24,16. Sugawara,Low
571,Southampton - Possessions,4085.629023,4090.073896,Own third,Right flank,Middle third,Center,Short,4 or less,,,12,50,2,5-4-1,44,24,16. Sugawara,Low
572,Ball in play,4090.063896,4121.409201,Middle third,Center,Final third,Center,Long,5-9,Shot,from 0.1 to 0.35,44,24,28,4-2-3-1,5,29,"5. Partey, 22. David Raya, 17. Zinchenko, 41. Rice, 7. Saka",Medium
573,Arsenal - Possessions,4090.063896,4121.409201,Middle third,Center,Final third,Center,Long,5-9,Shot,from 0.1 to 0.35,44,24,28,4-2-3-1,5,29,"5. Partey, 22. David Raya, 17. Zinchenko, 41. Rice, 7. Saka",Medium
574,Arsenal - Open play attacks,4090.063896,4121.409201,Middle third,Center,Final third,Center,Long,5-9,Shot,from 0.1 to 0.35,44,24,28,4-2-3-1,5,29,"5. Partey, 22. David Raya, 17. Zinchenko, 41. Rice, 7. Saka",Medium
575,Arsenal - Shots,4090.063896,4121.409201,Middle third,Center,Final third,Center,Long,5-9,Shot,from 0.1 to 0.35,44,24,28,4-2-3-1,5,29,"5. Partey, 22. David Raya, 17. Zinchenko, 41. Rice, 7. Saka",Medium
576,Ball in play,4118.409201,4127.790757,Own third,Center,Own third,Left flank,Short,4 or less,,,5,29,8,5-4-1,102,52,"18. Mateus Fernandes, 20. Sulemana, 34. Welington",
577,Southampton - Possessions,4118.409201,4127.790757,Own third,Center,Own third,Left flank,Short,4 or less,,,5,29,8,5-4-1,102,52,"18. Mateus Fernandes, 20. Sulemana, 34. Welington",
578,Ball in play,4161.689414,4165.247019,Own third,Left flank,Middle third,Center,Short,4 or less,,,5,12,2,5-4-1,42,41,30. Ramsdale,
579,Southampton - Possessions,4161.689414,4165.247019,Own third,Left flank,Middle third,Center,Short,4 or less,,,5,12,2,5-4-1,42,41,30. Ramsdale,
580,Southampton - Goalkeeper distributions,4161.689414,4165.247019,Own third,Left flank,Middle third,Center,Short,4 or less,,,5,12,2,5-4-1,42,41,30. Ramsdale,
581,Ball in play,4165.237019,4167.345554,Middle third,Center,Final third,Center,Short,4 or less,,,42,41,1,4-2-3-1,35,39,23. Mikel Merino,Medium
582,Arsenal - Possessions,4165.237019,4167.345554,Middle third,Center,Final third,Center,Short,4 or less,,,42,41,1,4-2-3-1,35,39,23. Mikel Merino,Medium
583,Ball in play,4167.335554,4168.947119,Own third,Center,Middle third,Left flank,Short,4 or less,,,35,39,1,5-4-1,45,52,15. Wood,Medium
584,Southampton - Possessions,4167.335554,4168.947119,Own third,Center,Middle third,Left flank,Short,4 or less,,,35,39,1,5-4-1,45,52,15. Wood,Medium
585,Ball in play,4168.937119,4187.994826,Middle third,Right flank,Final third,Right flank,Medium,10-14,,,45,52,19,4-2-3-1,20,11,"41. Rice, 53. Nwaneri, 7. Saka, 4. White, 23. Mikel Merino",Medium
586,Arsenal - Possessions,4168.937119,4187.994826,Middle third,Right flank,Final third,Right flank,Medium,10-14,,,45,52,19,4-2-3-1,20,11,"41. Rice, 53. Nwaneri, 7. Saka, 4. White, 23. Mikel Merino",Medium
587,Arsenal - Open play attacks,4168.937119,4187.994826,Middle third,Right flank,Final third,Right flank,Medium,10-14,,,45,52,19,4-2-3-1,20,11,"41. Rice, 53. Nwaneri, 7. Saka, 4. White, 23. Mikel Merino",Medium
588,Ball in play,4187.984826,4189.080014,Own third,Left flank,Own third,Left flank,Short,4 or less,,,20,11,1,5-4-1,87,56,20. Sulemana,
589,Southampton - Possessions,4187.984826,4189.080014,Own third,Left flank,Own third,Left flank,Short,4 or less,,,20,11,1,5-4-1,87,56,20. Sulemana,
590,Ball in play,4189.070014,4199.656976,Final third,Right flank,Final third,Center,Short,5-9,Shot,less than 0.1,87,56,7,4-2-3-1,20,44,"7. Saka, 19. Trossard, 53. Nwaneri, 17. Zinchenko",High
591,Arsenal - Possessions,4189.070014,4199.656976,Final third,Right flank,Final third,Center,Short,5-9,Shot,less than 0.1,87,56,7,4-2-3-1,20,44,"7. Saka, 19. Trossard, 53. Nwaneri, 17. Zinchenko",High
592,Arsenal - Open play attacks,4189.070014,4199.656976,Final third,Right flank,Final third,Center,Short,5-9,Shot,less than 0.1,87,56,7,4-2-3-1,20,44,"7. Saka, 19. Trossard, 53. Nwaneri, 17. Zinchenko",High
593,Arsenal - Shots,4189.070014,4199.656976,Final third,Right flank,Final third,Center,Short,5-9,Shot,less than 0.1,87,56,7,4-2-3-1,20,44,"7. Saka, 19. Trossard, 53. Nwaneri, 17. Zinchenko",High
594,Ball in play,4196.656976,4202.8666,Own third,Center,Middle third,Right flank,Short,4 or less,,,20,44,3,5-4-1,38,68,4. Downes,
595,Southampton - Possessions,4196.656976,4202.8666,Own third,Center,Middle third,Right flank,Short,4 or less,,,20,44,3,5-4-1,38,68,4. Downes,
596,Ball in play,4284.970179,4338.340751,Middle third,Left flank,Final third,Left flank,Very long,15 or more,,,67,0,51,4-2-3-1,24,59,"49. Lewis-Skelly, 5. Partey, 53. Nwaneri, 4. White, 15. Kiwior, 19. Trossard, 7. Saka",
597,Arsenal - Possessions,4284.970179,4338.340751,Middle third,Left flank,Final third,Left flank,Very long,15 or more,,,67,0,51,4-2-3-1,24,59,"49. Lewis-Skelly, 5. Partey, 53. Nwaneri, 4. White, 15. Kiwior, 19. Trossard, 7. Saka",
598,Arsenal - Set Pieces,4284.970179,4338.340751,Middle third,Left flank,Final third,Left flank,Very long,15 or more,,,67,0,51,4-2-3-1,24,59,"49. Lewis-Skelly, 5. Partey, 53. Nwaneri, 4. White, 15. Kiwior, 19. Trossard, 7. Saka",
599,Arsenal - Throw ins,4284.970179,4338.340751,Middle third,Left flank,Final third,Left flank,Very long,15 or more,,,67,0,51,4-2-3-1,24,59,"49. Lewis-Skelly, 5. Partey, 53. Nwaneri, 4. White, 15. Kiwior, 19. Trossard, 7. Saka",
600,Ball in play,4338.330751,4353.933849,Own third,Right flank,Middle third,Right flank,Medium,5-9,,,24,59,15,5-4-1,40,11,"16. Sugawara, 46. Robinson, 4. Downes, 30. Ramsdale, 32. Onuachu",Low
601,Southampton - Possessions,4338.330751,4353.933849,Own third,Right flank,Middle third,Right flank,Medium,5-9,,,24,59,15,5-4-1,40,11,"16. Sugawara, 46. Robinson, 4. Downes, 30. Ramsdale, 32. Onuachu",Low
602,Ball in play,4353.923849,4378.693116,Middle third,Left flank,Final third,Left flank,Long,10-14,,,40,11,24,4-2-3-1,21,56,"49. Lewis-Skelly, 41. Rice, 4. White, 29. Havertz, 23. Mikel Merino, 15. Kiwior, 19. Trossard",Medium
603,Arsenal - Possessions,4353.923849,4378.693116,Middle third,Left flank,Final third,Left flank,Long,10-14,,,40,11,24,4-2-3-1,21,56,"49. Lewis-Skelly, 41. Rice, 4. White, 29. Havertz, 23. Mikel Merino, 15. Kiwior, 19. Trossard",Medium
604,Arsenal - Open play attacks,4353.923849,4378.693116,Middle third,Left flank,Final third,Left flank,Long,10-14,,,40,11,24,4-2-3-1,21,56,"49. Lewis-Skelly, 41. Rice, 4. White, 29. Havertz, 23. Mikel Merino, 15. Kiwior, 19. Trossard",Medium
605,Arsenal - Crosses,4353.923849,4378.693116,Middle third,Left flank,Final third,Left flank,Long,10-14,,,40,11,24,4-2-3-1,21,56,"49. Lewis-Skelly, 41. Rice, 4. White, 29. Havertz, 23. Mikel Merino, 15. Kiwior, 19. Trossard",Medium
606,Ball in play,4378.683116,4384.738689,Own third,Right flank,Middle third,Left flank,Short,4 or less,,,21,56,6,5-4-1,66,51,"16. Sugawara, 4. Downes, 26. Ugochukwu",Low
607,Southampton - Possessions,4378.683116,4384.738689,Own third,Right flank,Middle third,Left flank,Short,4 or less,,,21,56,6,5-4-1,66,51,"16. Sugawara, 4. Downes, 26. Ugochukwu",Low
608,Ball in play,4384.728689,4421.98258,Middle third,Right flank,Final third,Center,Long,15 or more,,,66,51,37,4-2-3-1,6,37,"4. White, 41. Rice, 29. Havertz, 5. Partey, 15. Kiwior, 53. Nwaneri, 49. Lewis-Skelly, 19. Trossard",Medium
609,Arsenal - Possessions,4384.728689,4421.98258,Middle third,Right flank,Final third,Center,Long,15 or more,,,66,51,37,4-2-3-1,6,37,"4. White, 41. Rice, 29. Havertz, 5. Partey, 15. Kiwior, 53. Nwaneri, 49. Lewis-Skelly, 19. Trossard",Medium
610,Arsenal - Open play attacks,4384.728689,4421.98258,Middle third,Right flank,Final third,Center,Long,15 or more,,,66,51,37,4-2-3-1,6,37,"4. White, 41. Rice, 29. Havertz, 5. Partey, 15. Kiwior, 53. Nwaneri, 49. Lewis-Skelly, 19. Trossard",Medium
611,Arsenal - Crosses,4384.728689,4421.98258,Middle third,Right flank,Final third,Center,Long,15 or more,,,66,51,37,4-2-3-1,6,37,"4. White, 41. Rice, 29. Havertz, 5. Partey, 15. Kiwior, 53. Nwaneri, 49. Lewis-Skelly, 19. Trossard",Medium
612,Ball in play,4421.97258,4429.614327,Own third,Center,Own third,Right flank,Short,4 or less,,,6,37,4,5-4-1,0,54,15. Wood,
613,Southampton - Possessions,4421.97258,4429.614327,Own third,Center,Own third,Right flank,Short,4 or less,,,6,37,4,5-4-1,0,54,15. Wood,
614,Ball in play,4460.275932,4462.474384,Final third,Left flank,Final third,Center,Short,4 or less,,,105,0,1,4-2-3-1,5,41,"41. Rice, 4. White",
615,Arsenal - Possessions,4460.275932,4462.474384,Final third,Left flank,Final third,Center,Short,4 or less,,,105,0,1,4-2-3-1,5,41,"41. Rice, 4. White",
616,Arsenal - Set Pieces,4460.275932,4462.474384,Final third,Left flank,Final third,Center,Short,4 or less,,,105,0,1,4-2-3-1,5,41,"41. Rice, 4. White",
617,Arsenal - Corners,4460.275932,4462.474384,Final third,Left flank,Final third,Center,Short,4 or less,,,105,0,1,4-2-3-1,5,41,"41. Rice, 4. White",
618,Ball in play,4462.464384,4481.223785,Own third,Center,Final third,Right flank,Medium,5-9,,,5,41,18,5-4-1,5,12,"16. Sugawara, 20. Sulemana, 32. Onuachu, 34. Welington",Low
619,Southampton - Possessions,4462.464384,4481.223785,Own third,Center,Final third,Right flank,Medium,5-9,,,5,41,18,5-4-1,5,12,"16. Sugawara, 20. Sulemana, 32. Onuachu, 34. Welington",Low
620,Southampton - Open play attacks,4462.464384,4481.223785,Own third,Center,Final third,Right flank,Medium,5-9,,,5,41,18,5-4-1,5,12,"16. Sugawara, 20. Sulemana, 32. Onuachu, 34. Welington",Low
621,Southampton - Crosses,4462.464384,4481.223785,Own third,Center,Final third,Right flank,Medium,5-9,,,5,41,18,5-4-1,5,12,"16. Sugawara, 20. Sulemana, 32. Onuachu, 34. Welington",Low
622,Ball in play,4481.213785,4485.725721,Own third,Left flank,Own third,Left flank,Short,4 or less,,,5,12,2,4-2-3-1,93,68,49. Lewis-Skelly,
623,Arsenal - Possessions,4481.213785,4485.725721,Own third,Left flank,Own third,Left flank,Short,4 or less,,,5,12,2,4-2-3-1,93,68,49. Lewis-Skelly,
624,Ball in play,4503.030682,4540.191638,Final third,Right flank,Final third,Right flank,Long,15 or more,,,88,68,33,5-4-1,89,68,"16. Sugawara, 4. Downes, 15. Wood, 21. Taylor, 32. Onuachu, 18. Mateus Fernandes, 26. Ugochukwu",
625,Southampton - Possessions,4503.030682,4540.191638,Final third,Right flank,Final third,Right flank,Long,15 or more,,,88,68,33,5-4-1,89,68,"16. Sugawara, 4. Downes, 15. Wood, 21. Taylor, 32. Onuachu, 18. Mateus Fernandes, 26. Ugochukwu",
626,Southampton - Set Pieces,4503.030682,4540.191638,Final third,Right flank,Final third,Right flank,Long,15 or more,,,88,68,33,5-4-1,89,68,"16. Sugawara, 4. Downes, 15. Wood, 21. Taylor, 32. Onuachu, 18. Mateus Fernandes, 26. Ugochukwu",
627,Southampton - Throw ins,4503.030682,4540.191638,Final third,Right flank,Final third,Right flank,Long,15 or more,,,88,68,33,5-4-1,89,68,"16. Sugawara, 4. Downes, 15. Wood, 21. Taylor, 32. Onuachu, 18. Mateus Fernandes, 26. Ugochukwu",
628,Ball in play,4568.862512,4578.098531,Own third,Left flank,Final third,Right flank,Short,4 or less,,,35,0,7,4-4-2,25,9,"49. Lewis-Skelly, 5. Partey",
629,Arsenal - Possessions,4568.862512,4578.098531,Own third,Left flank,Final third,Right flank,Short,4 or less,,,35,0,7,4-4-2,25,9,"49. Lewis-Skelly, 5. Partey",
630,Arsenal - Set Pieces,4568.862512,4578.098531,Own third,Left flank,Final third,Right flank,Short,4 or less,,,35,0,7,4-4-2,25,9,"49. Lewis-Skelly, 5. Partey",
631,Arsenal - Throw ins,4568.862512,4578.098531,Own third,Left flank,Final third,Right flank,Short,4 or less,,,35,0,7,4-4-2,25,9,"49. Lewis-Skelly, 5. Partey",
632,Ball in play,4578.088531,4582.183082,Own third,Left flank,Middle third,Left flank,Short,4 or less,,,25,9,2,5-4-1,40,63,34. Welington,Low
633,Southampton - Possessions,4578.088531,4582.183082,Own third,Left flank,Middle third,Left flank,Short,4 or less,,,25,9,2,5-4-1,40,63,34. Welington,Low
