ID,code,start,end,01 - Location third,02 - Location flank,03 - End location third,04 - End location flank,05 - Length,06 - Number of team events,07 - Outcome,09 - xG,11 - Start location X,12 - Start location Y,13 - Duration,14 - Formation,15 - End location X,16 - End location Y,10 - Players,08 - Transition
425,Ball in play,2943.589776,2949.882623,Own third,Center,Final third,Left flank,Short,4 or less,,,32,26,4,4-2-3-1,34,56,"3. Tierney, 30. Sterling",Low
426,Arsenal - Possessions,2943.589776,2949.882623,Own third,Center,Final third,Left flank,Short,4 or less,,,32,26,4,4-2-3-1,34,56,"3. Tierney, 30. Sterling",Low
427,Ball in play,2949.872623,2959.547032,Own third,Right flank,Middle third,Left flank,Short,4 or less,,,34,56,9,5-4-1,43,56,"16. Sugawara, 21. Taylor, 20. Sulemana",Low
428,Southampton - Possessions,2949.872623,2959.547032,Own third,Right flank,Middle third,Left flank,Short,4 or less,,,34,56,9,5-4-1,43,56,"16. Sugawara, 21. Taylor, 20. Sulemana",Low
429,Ball in play,2959.537032,2962.324701,Middle third,Right flank,Middle third,Right flank,Short,4 or less,,,43,56,1,4-2-3-1,38,16,11. Gabriel Martinelli,
430,Arsenal - Possessions,2959.537032,2962.324701,Middle third,Right flank,Middle third,Right flank,Short,4 or less,,,43,56,1,4-2-3-1,38,16,11. Gabriel Martinelli,
431,Ball in play,2962.314701,2996.563615,Middle third,Left flank,Final third,Center,Long,10-14,,,38,16,34,5-4-1,6,25,"21. Taylor, 30. Ramsdale, 15. Wood, 16. Sugawara, 11. Stewart, 18. Mateus Fernandes, 46. Robinson",Medium
432,Southampton - Possessions,2962.314701,2996.563615,Middle third,Left flank,Final third,Center,Long,10-14,,,38,16,34,5-4-1,6,25,"21. Taylor, 30. Ramsdale, 15. Wood, 16. Sugawara, 11. Stewart, 18. Mateus Fernandes, 46. Robinson",Medium
433,Southampton - Open play attacks,2962.314701,2996.563615,Middle third,Left flank,Final third,Center,Long,10-14,,,38,16,34,5-4-1,6,25,"21. Taylor, 30. Ramsdale, 15. Wood, 16. Sugawara, 11. Stewart, 18. Mateus Fernandes, 46. Robinson",Medium
434,Ball in play,2996.553615,2998.472454,Own third,Center,Own third,Center,Short,4 or less,,,6,25,1,4-2-3-1,93,41,3. Tierney,
435,Arsenal - Possessions,2996.553615,2998.472454,Own third,Center,Own third,Center,Short,4 or less,,,6,25,1,4-2-3-1,93,41,3. Tierney,
436,Ball in play,2998.462454,3002.092151,Final third,Center,Final third,Right flank,Short,4 or less,,,93,41,3,5-4-1,2,20,"11. Stewart, 46. Robinson",High
437,Southampton - Possessions,2998.462454,3002.092151,Final third,Center,Final third,Right flank,Short,4 or less,,,93,41,3,5-4-1,2,20,"11. Stewart, 46. Robinson",High
438,Southampton - Open play attacks,2998.462454,3002.092151,Final third,Center,Final third,Right flank,Short,4 or less,,,93,41,3,5-4-1,2,20,"11. Stewart, 46. Robinson",High
439,Southampton - Crosses,2998.462454,3002.092151,Final third,Center,Final third,Right flank,Short,4 or less,,,93,41,3,5-4-1,2,20,"11. Stewart, 46. Robinson",High
440,Ball in play,3002.082151,3006.224346,Own third,Left flank,Own third,Center,Short,4 or less,,,2,20,2,4-2-3-1,105,45,17. Zinchenko,
441,Arsenal - Possessions,3002.082151,3006.224346,Own third,Left flank,Own third,Center,Short,4 or less,,,2,20,2,4-2-3-1,105,45,17. Zinchenko,
442,Ball in play,3035.019084,3041.191931,Final third,Right flank,Final third,Right flank,Short,4 or less,,,105,68,4,5-4-1,13,16,34. Welington,
443,Southampton - Possessions,3035.019084,3041.191931,Final third,Right flank,Final third,Right flank,Short,4 or less,,,105,68,4,5-4-1,13,16,34. Welington,
444,Southampton - Set Pieces,3035.019084,3041.191931,Final third,Right flank,Final third,Right flank,Short,4 or less,,,105,68,4,5-4-1,13,16,34. Welington,
445,Southampton - Corners,3035.019084,3041.191931,Final third,Right flank,Final third,Right flank,Short,4 or less,,,105,68,4,5-4-1,13,16,34. Welington,
446,Ball in play,3041.181931,3042.534737,Own third,Left flank,Own third,Left flank,Short,4 or less,,,13,16,1,4-2-3-1,87,58,11. Gabriel Martinelli,
447,Arsenal - Possessions,3041.181931,3042.534737,Own third,Left flank,Own third,Left flank,Short,4 or less,,,13,16,1,4-2-3-1,87,58,11. Gabriel Martinelli,
448,Ball in play,3042.524737,3045.881871,Final third,Right flank,Final third,Right flank,Short,4 or less,,,87,58,3,5-4-1,18,6,"21. Taylor, 34. Welington",High
449,Southampton - Possessions,3042.524737,3045.881871,Final third,Right flank,Final third,Right flank,Short,4 or less,,,87,58,3,5-4-1,18,6,"21. Taylor, 34. Welington",High
450,Southampton - Open play attacks,3042.524737,3045.881871,Final third,Right flank,Final third,Right flank,Short,4 or less,,,87,58,3,5-4-1,18,6,"21. Taylor, 34. Welington",High
451,Ball in play,3045.871871,3055.143304,Own third,Left flank,Final third,Left flank,Short,4 or less,,,18,6,9,4-2-3-1,25,61,"17. Zinchenko, 30. Sterling, 11. Gabriel Martinelli",Low
452,Arsenal - Possessions,3045.871871,3055.143304,Own third,Left flank,Final third,Left flank,Short,4 or less,,,18,6,9,4-2-3-1,25,61,"17. Zinchenko, 30. Sterling, 11. Gabriel Martinelli",Low
453,Arsenal - Counterattacks,3045.871871,3055.143304,Own third,Left flank,Final third,Left flank,Short,4 or less,,,18,6,9,4-2-3-1,25,61,"17. Zinchenko, 30. Sterling, 11. Gabriel Martinelli",Low
454,Ball in play,3055.133304,3058.306184,Own third,Right flank,Own third,Right flank,Short,4 or less,,,25,61,3,5-4-1,78,3,"20. Sulemana, 18. Mateus Fernandes",
455,Southampton - Possessions,3055.133304,3058.306184,Own third,Right flank,Own third,Right flank,Short,4 or less,,,25,61,3,5-4-1,78,3,"20. Sulemana, 18. Mateus Fernandes",
456,Ball in play,3058.296184,3060.389278,Final third,Left flank,Middle third,Left flank,Short,4 or less,,,78,3,1,4-2-3-1,38,68,11. Gabriel Martinelli,
457,Arsenal - Possessions,3058.296184,3060.389278,Final third,Left flank,Middle third,Left flank,Short,4 or less,,,78,3,1,4-2-3-1,38,68,11. Gabriel Martinelli,
458,Ball in play,3082.299373,3093.77141,Final third,Left flank,Middle third,Left flank,Short,4 or less,,,70,0,9,4-2-3-1,39,53,"17. Zinchenko, 4. White, 3. Tierney, 30. Sterling",
459,Arsenal - Possessions,3082.299373,3093.77141,Final third,Left flank,Middle third,Left flank,Short,4 or less,,,70,0,9,4-2-3-1,39,53,"17. Zinchenko, 4. White, 3. Tierney, 30. Sterling",
460,Arsenal - Set Pieces,3082.299373,3093.77141,Final third,Left flank,Middle third,Left flank,Short,4 or less,,,70,0,9,4-2-3-1,39,53,"17. Zinchenko, 4. White, 3. Tierney, 30. Sterling",
461,Arsenal - Throw ins,3082.299373,3093.77141,Final third,Left flank,Middle third,Left flank,Short,4 or less,,,70,0,9,4-2-3-1,39,53,"17. Zinchenko, 4. White, 3. Tierney, 30. Sterling",
462,Ball in play,3103.800196,3115.011951,Middle third,Left flank,Final third,Left flank,Medium,5-9,,,69,7,11,4-2-3-1,14,51,"15. Kiwior, 41. Rice, 17. Zinchenko, 30. Sterling",
463,Arsenal - Possessions,3103.800196,3115.011951,Middle third,Left flank,Final third,Left flank,Medium,5-9,,,69,7,11,4-2-3-1,14,51,"15. Kiwior, 41. Rice, 17. Zinchenko, 30. Sterling",
464,Arsenal - Open play attacks,3103.800196,3115.011951,Middle third,Left flank,Final third,Left flank,Medium,5-9,,,69,7,11,4-2-3-1,14,51,"15. Kiwior, 41. Rice, 17. Zinchenko, 30. Sterling",
465,Ball in play,3115.001951,3126.642281,Own third,Right flank,Middle third,Right flank,Medium,5-9,,,14,51,11,5-4-1,63,10,"4. Downes, 18. Mateus Fernandes, 11. Stewart",
466,Southampton - Possessions,3115.001951,3126.642281,Own third,Right flank,Middle third,Right flank,Medium,5-9,,,14,51,11,5-4-1,63,10,"4. Downes, 18. Mateus Fernandes, 11. Stewart",
467,Ball in play,3134.049031,3174.764609,Middle third,Right flank,Middle third,Left flank,Long,15 or more,,,38,56,41,5-4-1,55,50,"26. Ugochukwu, 21. Taylor, 34. Welington, 15. Wood, 4. Downes, 20. Sulemana, 11. Stewart",
468,Southampton - Possessions,3134.049031,3174.764609,Middle third,Right flank,Middle third,Left flank,Long,15 or more,,,38,56,41,5-4-1,55,50,"26. Ugochukwu, 21. Taylor, 34. Welington, 15. Wood, 4. Downes, 20. Sulemana, 11. Stewart",
469,Ball in play,3174.754609,3217.247341,Middle third,Right flank,Final third,Center,Long,15 or more,Shot on goal,less than 0.1,55,50,39,4-2-3-1,3,33,"15. Kiwior, 17. Zinchenko, 5. Partey, 41. Rice, 3. Tierney, 53. Nwaneri, 4. White, 11. Gabriel Martinelli",Medium
470,Arsenal - Possessions,3174.754609,3217.247341,Middle third,Right flank,Final third,Center,Long,15 or more,Shot on goal,less than 0.1,55,50,39,4-2-3-1,3,33,"15. Kiwior, 17. Zinchenko, 5. Partey, 41. Rice, 3. Tierney, 53. Nwaneri, 4. White, 11. Gabriel Martinelli",Medium
471,Arsenal - Highlights,3174.754609,3217.247341,Middle third,Right flank,Final third,Center,Long,15 or more,Shot on goal,less than 0.1,55,50,39,4-2-3-1,3,33,"15. Kiwior, 17. Zinchenko, 5. Partey, 41. Rice, 3. Tierney, 53. Nwaneri, 4. White, 11. Gabriel Martinelli",Medium
472,Arsenal - Open play attacks,3174.754609,3217.247341,Middle third,Right flank,Final third,Center,Long,15 or more,Shot on goal,less than 0.1,55,50,39,4-2-3-1,3,33,"15. Kiwior, 17. Zinchenko, 5. Partey, 41. Rice, 3. Tierney, 53. Nwaneri, 4. White, 11. Gabriel Martinelli",Medium
473,Arsenal - Shots,3174.754609,3217.247341,Middle third,Right flank,Final third,Center,Long,15 or more,Shot on goal,less than 0.1,55,50,39,4-2-3-1,3,33,"15. Kiwior, 17. Zinchenko, 5. Partey, 41. Rice, 3. Tierney, 53. Nwaneri, 4. White, 11. Gabriel Martinelli",Medium
474,Ball in play,3214.247341,3246.810437,Own third,Center,Final third,Center,Long,4 or less,,,3,33,31,5-4-1,28,34,30. Ramsdale,Low
475,Southampton - Possessions,3214.247341,3246.810437,Own third,Center,Final third,Center,Long,4 or less,,,3,33,31,5-4-1,28,34,30. Ramsdale,Low
476,Southampton - Goalkeeper distributions,3214.247341,3246.810437,Own third,Center,Final third,Center,Long,4 or less,,,3,33,31,5-4-1,28,34,30. Ramsdale,Low
477,Ball in play,3246.800437,3248.900923,Own third,Center,Middle third,Center,Short,4 or less,,,28,34,1,4-2-3-1,67,43,3. Tierney,Low
478,Arsenal - Possessions,3246.800437,3248.900923,Own third,Center,Middle third,Center,Short,4 or less,,,28,34,1,4-2-3-1,67,43,3. Tierney,Low
479,Ball in play,3248.890923,3259.440203,Middle third,Center,Final third,Center,Short,5-9,,,67,43,9,5-4-1,21,38,"18. Mateus Fernandes, 46. Robinson, 11. Stewart",
480,Southampton - Possessions,3248.890923,3259.440203,Middle third,Center,Final third,Center,Short,5-9,,,67,43,9,5-4-1,21,38,"18. Mateus Fernandes, 46. Robinson, 11. Stewart",
481,Southampton - Open play attacks,3248.890923,3259.440203,Middle third,Center,Final third,Center,Short,5-9,,,67,43,9,5-4-1,21,38,"18. Mateus Fernandes, 46. Robinson, 11. Stewart",
482,Ball in play,3367.779835,3372.246776,Final third,Center,Final third,Center,Short,4 or less,,,85,29,0,5-4-1,13,28,18. Mateus Fernandes,
